tavg_mean,tmin_mean,tmin_peak,tmax_mean,tmax_peak,prcp_sum,wspd_mean,pres_mean,Month,TotalConsumption_electric,TotalCost_electric,UsagePeriodDays_electric,TotalConsumption_gas,TotalCost_gas,UsagePeriodDays_gas
14.209677419354838,10.583870967741936,5.6,17.690322580645162,27.2,113.4,18.838709677419356,1018.0709677419355,2019-10-01,22333847.75,3727266.49,30.588029241547364,1474215.0396,1525989.3,28.69479768786127
6.076666666666667,2.013333333333333,-6.0,9.966666666666667,22.2,85.7,19.186666666666667,1016.4666666666667,2019-11-01,14546380.29,2272277.73,30.217521652231845,1621700.409,1783721.53,33.04771784232365
2.929032258064516,-0.6129032258064516,-9.3,6.445161290322581,17.2,154.2,19.574193548387097,1016.7193548387097,2019-12-01,23122656.6,3221655.8,31.96678966789668,1365074.16,1407264.04,30.676880222841227
3.364516129032258,-0.4838709677419354,-9.9,7.183870967741935,23.3,35.3,18.348387096774193,1018.1354838709677,2020-01-01,14546713.0,1970801.63,29.77988614800759,880336.39,925293.61,29.007042253521128
3.306896551724138,-0.6620689655172414,-11.0,7.106896551724137,17.8,83.8,16.993103448275864,1015.4551724137931,2020-02-01,11256470.8,1565900.1199999999,29.86277001270648,1114657.0,1193128.2,30.378048780487806
5.370967741935484,1.303225806451613,-7.1,9.648387096774194,22.2,91.6,20.6,1019.5866666666666,2020-03-01,12360621.0,2346799.35,30.55954855954856,915873.5878,1156021.54,30.177177177177178
6.873333333333334,3.6533333333333333,-0.5,10.3,16.7,110.10000000000001,21.523333333333333,1010.7366666666666,2020-04-01,9741489.0,1540787.98,29.865384615384617,597634.43,659525.61,30.446153846153845
13.674193548387096,8.8,1.1,18.73225806451613,28.3,56.2,19.12258064516129,1016.016129032258,2020-05-01,9456374.88,2003021.05,30.541441441441442,226510.9,256609.54,29.747663551401867
20.253333333333334,15.91,8.3,25.466666666666665,33.3,67.7,14.436666666666667,1014.94,2020-06-01,12524363.42,2687511.87,30.68954248366013,169077.21,193870.66,31.019774011299436
23.74516129032258,19.9,15.0,28.20967741935484,35.0,49.599999999999994,15.458064516129031,1013.5516129032258,2020-07-01,12502034.62,2284352.72,29.840251572327045,197383.68,218275.5,29.37150837988827
